Name,State,Latitude,Longitude,Status,Commodity Group,,,,,
Copperhead,QLD,-20.5400,148.3100,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Corella,QLD,-20.7175,140.2068,Mineral deposit,Graphite,,,,,
Corinna,TAS,-41.6224,145.1120,Operating mine,Silicon (High purity silica/quartz),,,,,
Corkwood,WA,-17.2950,128.1877,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Coronation Dam,WA,-29.5235,122.2705,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Coronation Hill,NT,-13.5862,132.6074,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Cosmos ,WA,-27.6003,120.5763,Mine - under development,Nickel +/- Cobalt +/- PGE,,,,,
Costerfield,VIC,-36.8901,144.7910,Operating mine,Antimony,,,,,
Cowalinya,WA,-32.9100,122.2900,Mineral deposit,Rare Earth Elements (REE),,,,,
Creswick,VIC,-37.3204,143.8943,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Cummins Range,WA,-19.2849,127.1666,Mineral deposit,Rare Earth Elements (REE),,,,,
Cyclone,WA,-28.8171,128.7322,Mine - under development,"Heavy mineral sands - Titanium, Zirconium",,,,,
Cylinder-Karra,NSW,-34.1419,143.0801,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Debella,QLD,-19.9586,141.8890,Mineral deposit,"Vanadium, Molybdenum",,,,,
Deep Leads,TAS,-41.4600,146.7400,Mineral deposit,Rare Earth Elements (REE),,,,,
Desolation,QLD,-21.0479,140.5565,Mineral deposit,Cobalt,,,,,
Diggers Area,WA,-32.7158,119.8104,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Dolphin,TAS,-40.0533,144.0587,Operating mine,Tungsten,,,,,
Donald,VIC,-36.4994,142.7815,Mine - under development,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Dongara,WA,-29.4315,115.1429,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Dubbo,NSW,-32.4643,148.6235,Mine - under development,"REE, Zirconium, Niobium, +/- Hafnium, Lithium, Tantalum, Gallium",,,,,
Earaheedy,WA,-25.6570,120.6262,Mineral deposit,Manganese Ore,,,,,
East Cooee,WA,-31.3444,121.7889,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
East Scotia,WA,-31.1823,121.4570,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Eastern Hills,WA,-22.8362,116.1233,Mineral deposit,Antimony,,,,,
Elaine Dorothy,QLD,-20.8028,140.0228,Mineral deposit,Rare Earth Elements (REE),,,,,
Emmie Bluff,SA,-31.1051,137.1544,Mineral deposit,Cobalt,,,,,
Enacheddong Creek,WA,-22.1312,121.1978,Mineral deposit,Manganese Ore,,,,,
Eneabba stockpile,WA,-29.8881,115.3037,Operating mine,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Ernest Henry,QLD,-20.4447,140.7058,Operating mine,Cobalt,,,,,
Eulogie,QLD,-23.8453,150.4344,Mineral deposit,Vanadium,,,,,
Faraday,WA,-31.4844,121.5327,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
Fingerboards,VIC,-37.7909,147.3112,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Finniss,NT,-12.6667,130.7775,Operating mine,Lithium +/- Tantalum +/- Niobium,,,,,
Fisher East,WA,-26.8035,121.5537,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Flanagan Bore,WA,-22.9701,120.8394,Mineral deposit,Manganese Ore,,,,,
Flemington,NSW,-32.7431,147.3926,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Flying Fox,WA,-32.4185,119.6890,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Foster-Baker,WA,-31.3480,121.7965,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Four Corners ,WA,-29.3144,120.6000,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Frost,WA,-30.0584,121.6400,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Gabanintha,WA,-26.9418,118.6325,Mine - under development,"Titanium, Vanadium",,,,,
Galalar,QLD,-15.3170,145.2779,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Galileo,VIC,-34.9608,142.4280,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Gallipoli,NSW,-33.4711,142.3353,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Ghan Well,WA,-28.8710,122.1320,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Ghost Rocks,WA,-29.5275,120.8713,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Gibson,WA,-33.5960,122.0053,Mineral deposit,High Purity Alumina,,,,,
Gilligans,NSW,-33.6674,142.0185,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Ginkgo-Crayfish-Snapper,NSW,-33.3659,142.2247,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Glen Eden,NSW,-29.6227,151.8637,Mineral deposit,Tungsten,,,,,
Glenella,NSW,-33.9509,148.8305,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Golden Ridge,WA,-30.9106,121.7167,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Goodyear Nickel,WA,-31.0363,121.8035,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Goondicum Crater,QLD,-24.8557,151.4339,Mineral deposit,Titanium,,,,,
Goongarrie,WA,-30.0085,121.1476,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Goschen,VIC,-35.5599,143.5316,Mine - under development,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Goschen Central,VIC,-35.8787,143.3567,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Governor Broome,WA,-34.2438,115.3993,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Great Australia Complex,QLD,-20.7206,140.5105,Mine - care and maintenance,Cobalt,,,,,
Great White,SA,-32.8286,134.7393,Mineral deposit,High Purity Alumina,,,,,
Greenbushes,WA,-33.8558,116.0668,Operating mine,Lithium +/- Tantalum +/- Niobium,,,,,
Greenmount,QLD,-21.0255,140.5297,Mineral deposit,Cobalt,,,,,
Grey Dam,WA,-30.4721,122.1492,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Griffiths Hill,QLD,-17.1212,144.4080,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Groote Eylandt,NT,-13.9922,136.4455,Operating mine,Manganese Ore,,,,,
Gunnawarra,QLD,-17.9485,145.1396,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Halidon,SA,-34.8596,140.1320,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Hammerhead,SA,-32.7737,134.7520,Mineral deposit,High Purity Alumina,,,,,
Hampton,WA,-30.4663,122.0392,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Happy Valley,WA,-33.5499,115.7162,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Hassell Beach,WA,-34.7737,118.4160,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Hatches Creek,NT,-20.8861,135.1880,Mineral deposit,Tungsten,,,,,
Hawkes Creek,TAS,-41.0960,144.8844,Operating mine,Silicon (High purity silica/quartz),,,,,
Hawkwood,QLD,-25.7881,150.8528,Mineral deposit,"Titanium, Vanadium",,,,,
Hillgrove,NSW,-30.5745,151.9009,Mine - care and maintenance,Antimony,,,,,
HJ Reef,QLD,-20.6746,140.4772,Mineral deposit,Silicon (High purity silica/quartz),,,,,
